name,date,average_price
BNB,2022-02-27,$360.53
BNB,2022-02-26,$373.64
BNB,2022-02-25,$374.91
BNB,2022-02-24,$361.23
BNB,2022-02-23,$366.54
BNB,2022-02-22,$374.31
BNB,2022-02-21,$356.66
BNB,2022-02-20,$380.83
BNB,2022-02-19,$400.04
BNB,2022-02-18,$399.57
BNB,2022-02-17,$402.45
BNB,2022-02-16,$427.92
BNB,2022-02-15,$432.41
BNB,2022-02-14,$403.66
BNB,2022-02-13,$398.89
BNB,2022-02-12,$403.39
BNB,2022-02-11,$400.42
BNB,2022-02-10,$415.12
BNB,2022-02-09,$422.47
BNB,2022-02-08,$408.78
BNB,2022-02-07,$433.23
BNB,2022-02-06,$419.55
BNB,2022-02-05,$414.20
BNB,2022-02-04,$399.03
BNB,2022-02-03,$370.88
BNB,2022-02-02,$367.47
BNB,2022-02-01,$385.46
BNB,2022-01-31,$375.28
BNB,2022-01-30,$377.61
BNB,2022-01-29,$389.13
BNB,2022-01-28,$386.08
BNB,2022-01-27,$390.09
BNB,2022-01-26,$375.76
BNB,2022-01-25,$384.62
BNB,2022-01-24,$371.37
BNB,2022-01-23,$383.93
BNB,2022-01-22,$358.10
BNB,2022-01-21,$383.07
BNB,2022-01-20,$440.01
BNB,2022-01-19,$462.82
BNB,2022-01-18,$472.01
BNB,2022-01-17,$475.71
BNB,2022-01-16,$498.43
BNB,2022-01-15,$494.99
BNB,2022-01-14,$489.87
BNB,2022-01-13,$475.03
BNB,2022-01-12,$487.01
Terra,2022-04-21,$90.80
Terra,2022-04-20,$94.96
Terra,2022-04-19,$95.62
Terra,2022-04-18,$91.07
Terra,2022-04-17,$77.43
Terra,2022-04-16,$81.01
Terra,2022-04-15,$80.35
Terra,2022-04-14,$81.65
Terra,2022-04-13,$87.64
Terra,2022-04-12,$84.50
Terra,2022-04-11,$82.39
Terra,2022-04-10,$92.58
Terra,2022-04-09,$97.42
Terra,2022-04-08,$94.57
Terra,2022-04-07,$103.56
Terra,2022-04-06,$107.87
Terra,2022-04-05,$116.11
Terra,2022-04-04,$116.41
Terra,2022-04-03,$113.07
Terra,2022-04-02,$115.19
Terra,2022-04-01,$105.78
Terra,2022-03-31,$103.01
Terra,2022-03-30,$106.02
Terra,2022-03-29,$108.99
Terra,2022-03-28,$97.33
Terra,2022-03-27,$94.15
Terra,2022-03-26,$91.39
Terra,2022-03-25,$90.42
Terra,2022-03-24,$93.86
Terra,2022-03-23,$94.92
Terra,2022-03-22,$93.00
Terra,2022-03-21,$95.95
Terra,2022-03-20,$90.53
Terra,2022-03-19,$92.10
Terra,2022-03-18,$88.61
Terra,2022-03-17,$86.91
Terra,2022-03-16,$89.28
Terra,2022-03-15,$88.63
Terra,2022-03-14,$94.85
Terra,2022-03-13,$87.62
Terra,2022-03-12,$86.14
Terra,2022-03-11,$88.22
Terra,2022-03-10,$101.59
Terra,2022-03-09,$99.45
Terra,2022-03-08,$85.50
Terra,2022-03-07,$77.94
Terra,2022-03-06,$79.12
Terra,2022-03-05,$87.41
Terra,2022-03-04,$83.27
Terra,2022-03-03,$90.31
Terra,2022-03-02,$92.11
Terra,2022-03-01,$89.54
Terra,2022-02-28,$91.14
Terra,2022-02-27,$72.64
Terra,2022-02-26,$78.08
Terra,2022-02-25,$73.17
Terra,2022-02-24,$65.39
Terra,2022-02-23,$59.65
Terra,2022-02-22,$54.78
Terra,2022-02-21,$50.18
Terra,2022-02-20,$49.36
Terra,2022-02-19,$50.43
Terra,2022-02-18,$50.73
Terra,2022-02-17,$50.25
Terra,2022-02-16,$56.06
Terra,2022-02-15,$56.81
Terra,2022-02-14,$53.85
Terra,2022-02-13,$51.79
Terra,2022-02-12,$52.00
Terra,2022-02-11,$50.39
Terra,2022-02-10,$52.17
Terra,2022-02-09,$57.29
Terra,2022-02-08,$57.29
Terra,2022-02-07,$59.47
Terra,2022-02-06,$56.10
Terra,2022-02-05,$55.37
Terra,2022-02-04,$53.89
Terra,2022-02-03,$51.03
Terra,2022-02-02,$47.57
Terra,2022-02-01,$52.02
Terra,2022-01-31,$52.34
Terra,2022-01-30,$46.27
Terra,2022-01-29,$50.79
Terra,2022-01-28,$50.60
Terra,2022-01-27,$54.32
Terra,2022-01-26,$58.84
Terra,2022-01-25,$62.83
Terra,2022-01-24,$65.97
Terra,2022-01-23,$69.79
Terra,2022-01-22,$62.57
Terra,2022-01-21,$64.84
Terra,2022-01-20,$76.99
Terra,2022-01-19,$81.25
Terra,2022-01-18,$80.57
Terra,2022-01-17,$77.18
Terra,2022-01-16,$86.96
Terra,2022-01-15,$87.57
Terra,2022-01-14,$81.63
Terra,2022-01-13,$78.00
Terra,2022-01-12,$82.07
